dayTime;wiseEUR;;
2024-07-17 11:00:00.000;5,97318;;
2024-07-17 17:00:00.000;5,99675;;
2024-07-17 23:00:00.000;6,00236;;
2024-07-18 11:00:00.000;6,00298;;
2024-07-18 17:00:00.000;6,09006;;
2024-07-18 23:00:00.000;6,03708;;
2024-07-19 11:00:00.000;6,03963;;
2024-07-19 17:00:00.000;6,07201;;
2024-07-19 23:00:00.000;6,09247;;
2024-07-20 11:00:00.000;6,09247;;
2024-07-20 17:00:00.000;6,09247;;
2024-07-20 23:00:00.000;6,09247;;
2024-07-21 11:00:00.000;6,09247;;
2024-07-21 11:00:00.000;6,09247;;
2024-07-21 17:00:00.000;6,03635;;
2024-07-22 23:00:00.000;6,06090;;
2024-07-22 11:00:00.000;6,06351;;
2024-07-22 17:00:00.000;6,06719;;
2024-07-23 23:00:00.000;6,06929;;
2024-07-23 11:00:00.000;6,06130;;
2024-07-23 17:00:00.000;6,06028;;
2024-07-24 23:00:00.000;6,12329;;
2024-07-24 11:00:00.000;6,13004;;
2024-07-24 17:00:00.000;6,12895;;
2024-07-25 23:00:00.000;6,12452;;
2024-07-25 11:00:00.000;6,12516;;
2024-07-25 11:00:00.000;6,12877;;
2024-07-26 17:00:00.000;6,12820;;
2024-07-26 23:00:00.000;6,14300;;
2024-07-26 11:00:00.000;6,14047;;
2024-07-27 17:00:00.000;6,14047;;
2024-07-27 23:00:00.000;6,14047;;
2024-07-27 11:00:00.000;6,14047;;
2024-07-28 17:00:00.000;6,14047;;
2024-07-28 23:00:00.000;6,14285;;
2024-07-28 11:00:00.000;6,14186;;
2024-07-29 17:00:00.000;6,10892;;
2024-07-29 23:00:00.000;6,08887;;
2024-07-29 11:00:00.000;6,07493;;
2024-07-30 17:00:00.000;6,11434;;
2024-07-30 23:00:00.000;6,07054;;
2024-07-30 11:00:00.000;6,07474;;
2024-07-31 11:00:00.000;6,15245;;
2024-07-31 17:00:00.000;6,11441;;
2024-07-31 23:00:00.000;6,12610;;
2024-08-01 11:00:00.000;6,09555;;
2024-08-01 17:00:00.000;6,18762;;
2024-08-01 23:00:00.000;6,20713;;
2024-08-02 11:00:00.000;6,23340;;
2024-08-02 17:00:00.000;6,23088;;
2024-08-02 23:00:00.000;6,24957;;
2024-08-03 11:00:00.000;6,24957;;
2024-08-03 11:00:00.000;6,24957;;
2024-08-03 17:00:00.000;6,24957;;
2024-08-04 23:00:00.000;6,24957;;
2024-08-04 11:00:00.000;6,25641;;
2024-08-04 17:00:00.000;6,25481;;
2024-08-05 23:00:00.000;6,37020;;
2024-08-05 11:00:00.000;6,29156;;
2024-08-05 17:00:00.000;6,26955;;
2024-08-06 23:00:00.000;6,18280;;
2024-08-06 11:00:00.000;6,18487;;
2024-08-06 17:00:00.000;6,17677;;
2024-08-07 23:00:00.000;6,11797;;
2024-08-07 11:00:00.000;6,14300;;
2024-08-07 11:00:00.000;6,16025;;
2024-08-08 17:00:00.000;6,11774;;
2024-08-08 23:00:00.000;6,08513;;
2024-08-08 11:00:00.000;6,05705;;
2024-08-09 11:00:00.000;6,01710;;
2024-08-09 17:00:00.000;6,02116;;
2024-08-09 23:00:00.000;6,01355;;
2024-08-10 11:00:00.000;6,01355;;
2024-08-10 17:00:00.000;6,01355;;
2024-08-10 23:00:00.000;6,01355;;
2024-08-11 11:00:00.000;6,00781;;
2024-08-11 17:00:00.000;6,00933;;
2024-08-11 23:00:00.000;6,00752;;
2024-08-12 11:00:00.000;6,00781;;
2024-08-12 17:00:00.000;6,00933;;
2024-08-12 23:00:00.000;6,00752;;
2024-08-13 11:00:00.000;6,01468;;
2024-08-13 11:00:00.000;5,99176;;
2024-08-13 17:00:00.000;5,99866;;
2024-08-14 23:00:00.000;6,01446;;
2024-08-14 11:00:00.000;6,02297;;
2024-08-14 11:00:00.000;6,02148;;
2024-08-15 17:00:00.000;5,98387;;
2024-08-15 23:00:00.000;6,01732;;
2024-08-15 11:00:00.000;6,02482;;
2024-08-16 17:00:00.000;6,00103;;
2024-08-16 23:00:00.000;6,02627;;
2024-08-16 11:00:00.000;6,03376;;
2024-08-17 17:00:00.000;6,03376;;
2024-08-17 23:00:00.000;6,03376;;
2024-08-17 11:00:00.000;6,03376;;
2024-08-18 17:00:00.000;6,03376;;
2024-08-18 23:00:00.000;6,03376;;
2024-08-18 11:00:00.000;6,03330;;
2024-08-19 11:00:00.000;5,99590;;
2024-08-19 17:00:00.000;5,99900;;
2024-08-19 23:00:00.000;5,99330;;
2024-08-20 11:00:00.000;6,03910;;
2024-08-20 17:00:00.000;6,10210;;
2024-08-20 23:00:00.000;6,09410;;
2024-08-21 11:00:00.000;6,07960;;
2024-08-21 17:00:00.000;6,11260;;
2024-08-21 23:00:00.000;6,11080;;
2024-08-22 11:00:00.000;6,10870;;
2024-08-22 17:00:00.000;6,20930;;
2024-08-22 23:00:00.000;6,22260;;
2024-08-23 11:00:00.000;6,17250;;
2024-08-23 17:00:00.000;6,13240;;
2024-08-23 23:00:00.000;6,14017;;
2024-08-24 11:00:00.000;6,14017;;
2024-08-24 11:00:00.000;6,14017;;
2024-08-24 17:00:00.000;6,14017;;
2024-08-25 23:00:00.000;6,14017;;
2024-08-25 11:00:00.000;6,14017;;
2024-08-25 17:00:00.000;6,13960;;
2024-08-26 11:00:00.000;6,12090;;
2024-08-26 17:00:00.000;6,12850;;
2024-08-26 23:00:00.000;6,14010;;
2024-08-27 11:00:00.000;6,13450;;
2024-08-27 17:00:00.000;6,15380;;
2024-08-27 23:00:00.000;6,15620;;
2024-08-28 11:00:00.000;6,14450;;
2024-08-28 17:00:00.000;6,17330;;
2024-08-28 23:00:00.000;6,19120;;
2024-08-29 11:00:00.000;6,25120;;
2024-08-29 17:00:00.000;6,22740;;
2024-08-29 23:00:00.000;6,23150;;
2024-08-30 11:00:00.000;6,26140;;
2024-08-30 17:00:00.000;6,22820;;
2024-08-30 23:00:00.000;6,19337;;
2024-08-31 11:00:00.000;6,19337;;
2024-08-31 17:00:00.000;6,19337;;
2024-08-31 23:00:00.000;6,19337;;
2024-09-01 11:00:00.000;6,19337;;
2024-09-01 17:00:00.000;6,19337;;
2024-09-01 23:00:00.000;6,20344;;
2024-09-02 11:00:00.000;6,25148;;
2024-09-02 17:00:00.000;6,21827;;
2024-09-02 23:00:00.000;6,21554;;
2024-09-03 11:00:00.000;6,22515;;
2024-09-03 17:00:00.000;6,22806;;
2024-09-03 23:00:00.000;6,24375;;
2024-09-04 11:00:00.000;6,23828;;
2024-09-04 17:00:00.000;6,24977;;
2024-09-04 23:00:00.000;6,25328;;
2024-09-05 11:00:00.000;6,22342;;
2024-09-05 17:00:00.000;6,18690;;
2024-09-05 23:00:00.000;6,18730;;
2024-09-06 11:00:00.000;6,16413;;
2024-09-06 17:00:00.000;6,19781;;
2024-09-06 23:00:00.000;6,20721;;
2024-09-07 11:00:00.000;6,20721;;
2024-09-07 17:00:00.000;6,20721;;
2024-09-07 23:00:00.000;6,20721;;
2024-09-08 11:00:00.000;6,20721;;
2024-09-08 17:00:00.000;6,20721;;
2024-09-08 23:00:00.000;6,20436;;
2024-09-09 11:00:00.000;6,19544;;
2024-09-09 17:00:00.000;6,16451;;
2024-09-09 23:00:00.000;6,16462;;
2024-09-10 11:00:00.000;6,18891;;
2024-09-10 17:00:00.000;6,23457;;
2024-09-10 23:00:00.000;6,24969;;
2024-09-11 11:00:00.000;6,21350;;
2024-09-11 17:00:00.000;6,23309;;
2024-09-11 23:00:00.000;6,24305;;
2024-09-12 11:00:00.000;6,24409;;
2024-09-12 17:00:00.000;6,21913;;
2024-09-12 23:00:00.000;6,23598;;
2024-09-13 11:00:00.000;6,18266;;
2024-09-13 17:00:00.000;6,16489;;
2024-09-13 23:00:00.000;6,16356;;
2024-09-14 11:00:00.000;6,16356;;
2024-09-14 17:00:00.000;6,16356;;
2024-09-14 23:00:00.000;6,16356;;
