day;date;weekDay;open;intermediary;close;high;low;dailyAvg;retornoDiscreto;retornoContinuo;longEMA;shortEMA;longSMA;shortSMA
1;2024-07-17;Wednesday;5,45869;5,48646;5,48989;5,48989;5,45869;5,47835;NA;NA;NA;NA;NA;NA
2;2024-07-18;Thursday;5,49209;5,58875;5,54471;5,58875;5,49209;5,54185;0,99856%;0,99361%;NA;NA;NA;NA
3;2024-07-19;Friday;5,54450;5,57886;5,59816;5,59816;5,54450;5,57384;0,96398%;0,95937%;NA;NA;NA;NA
4;2024-07-20;Saturday;5,59816;5,59816;5,59816;5,59816;5,59816;5,59816;0,00000%;0,00000%;NA;NA;NA;NA
5;2024-07-21;Sunday;5,59816;5,59816;5,54530;5,59816;5,54530;5,58054;-0,94424%;-0,94873%;NA;NA;NA;5,55524
6;2024-07-22;Monday;5,57171;5,56926;5,57209;5,57209;5,56926;5,57102;0,48311%;0,48195%;NA;5,56086;NA;5,57168
7;2024-07-23;Tuesday;5,59331;5,58619;5,58656;5,59331;5,58619;5,58869;0,25969%;0,25935%;NA;5,56943;NA;5,58005
8;2024-07-24;Wednesday;5,64124;5,65429;5,65505;5,65505;5,64124;5,65019;1,22598%;1,21852%;NA;5,59797;NA;5,59143
9;2024-07-25;Thursday;5,65020;5,64764;5,64525;5,65020;5,64525;5,64770;-0,17330%;-0,17345%;NA;5,61373;NA;5,60085
10;2024-07-26;Friday;5,64029;5,65784;5,65630;5,65784;5,64029;5,65148;0,19574%;0,19555%;NA;5,62792;NA;5,62305
11;2024-07-27;Saturday;5,65630;5,65630;5,65630;5,65630;5,65630;5,65630;0,00000%;0,00000%;NA;5,63738;NA;5,63989
12;2024-07-28;Sunday;5,65630;5,65665;5,65681;5,65681;5,65630;5,65659;0,00902%;0,00902%;NA;5,64386;NA;5,65394
13;2024-07-29;Monday;5,65090;5,62430;5,61608;5,65090;5,61608;5,63043;-0,72002%;-0,72262%;NA;5,63460;NA;5,64615
14;2024-07-30;Tuesday;5,65566;5,61230;5,61255;5,65566;5,61230;5,62684;-0,06286%;-0,06287%;NA;5,62725;NA;5,63961
15;2024-07-31;Wednesday;5,67466;5,64799;5,65790;5,67466;5,64799;5,66018;0,80801%;0,80476%;NA;5,63747;NA;5,63993
16;2024-08-01;Thursday;5,64219;5,73487;5,75242;5,75242;5,64219;5,70983;1,67058%;1,65678%;NA;5,67578;NA;5,65915
17;2024-08-02;Friday;5,71585;5,70959;5,72807;5,72807;5,70959;5,71784;-0,42330%;-0,42420%;NA;5,69321;NA;5,67340
18;2024-08-03;Saturday;5,72807;5,72807;5,72807;5,72807;5,72807;5,72807;0,00000%;0,00000%;NA;5,70483;NA;5,69580
19;2024-08-04;Sunday;5,72807;5,72721;5,72810;5,72810;5,72721;5,72779;0,00052%;0,00052%;NA;5,71259;NA;5,71891
20;2024-08-05;Monday;5,80110;5,74076;5,72298;5,80110;5,72298;5,75495;-0,08938%;-0,08942%;NA;5,71605;5,63754;5,73193
21;2024-08-06;Tuesday;5,66271;5,65861;5,65716;5,66271;5,65716;5,65949;-1,15010%;-1,15676%;5,63941;5,69642;5,64590;5,71288
22;2024-08-07;Wednesday;5,60331;5,62366;5,63739;5,63739;5,60331;5,62145;-0,34947%;-0,35008%;5,63921;5,67674;5,65054;5,69474
23;2024-08-08;Thursday;5,61700;5,57426;5,54751;5,61700;5,54751;5,57959;-1,59435%;-1,60720%;5,63048;5,63367;5,64800;5,65863
24;2024-08-09;Friday;5,51724;5,51466;5,50870;5,51724;5,50870;5,51353;-0,69959%;-0,70205%;5,61888;5,59201;5,64353;5,61475
25;2024-08-10;Saturday;5,50870;5,50870;5,50870;5,50870;5,50870;5,50870;0,00000%;0,00000%;5,60839;5,56424;5,64170;5,57189
26;2024-08-11;Sunday;5,49940;5,49774;5,49384;5,49940;5,49384;5,49699;-0,26976%;-0,27012%;5,59748;5,54077;5,63779;5,53923
27;2024-08-12;Monday;5,49940;5,48774;5,49384;5,49940;5,48774;5,49366;0,00000%;0,00000%;5,58761;5,52513;5,63315;5,51052
28;2024-08-13;Tuesday;5,48911;5,44879;5,45729;5,48911;5,44879;5,46506;-0,66529%;-0,66751%;5,57520;5,50252;5,62326;5,49247
29;2024-08-14;Wednesday;5,44909;5,46896;5,47061;5,47061;5,44909;5,46289;0,24408%;0,24378%;5,56524;5,49188;5,61453;5,48486
30;2024-08-15;Thursday;5,45551;5,48369;5,48634;5,48634;5,45551;5,47518;0,28754%;0,28712%;5,55772;5,49003;5,60603;5,48038
31;2024-08-16;Friday;5,45426;5,46624;5,47154;5,47154;5,45426;5,46401;-0,26976%;-0,27013%;5,54952;5,48387;5,59680;5,47592
32;2024-08-17;Saturday;5,47154;5,47154;5,47154;5,47154;5,47154;5,47154;0,00000%;0,00000%;5,54209;5,47976;5,58753;5,47146
33;2024-08-18;Sunday;5,47154;5,47154;5,46940;5,47154;5,46940;5,47083;-0,03911%;-0,03912%;5,53517;5,47631;5,58020;5,47389
34;2024-08-19;Monday;5,42930;5,41250;5,40640;5,42930;5,40640;5,41607;-1,15186%;-1,15855%;5,52290;5,45300;5,56989;5,46104
35;2024-08-20;Tuesday;5,43970;5,48530;5,47960;5,48530;5,43970;5,46820;1,35395%;1,34487%;5,51878;5,46187;5,56098;5,45970
36;2024-08-21;Wednesday;5,47000;5,48120;5,48370;5,48370;5,47000;5,47830;0,07482%;0,07480%;5,51544;5,46915;5,54754;5,46213
37;2024-08-22;Thursday;5,54520;5,58970;5,59210;5,59210;5,54520;5,57567;1,97677%;1,95748%;5,52274;5,51013;5,54074;5,48624
38;2024-08-23;Friday;5,55180;5,47950;5,48595;5,55180;5,47950;5,50575;-1,89821%;-1,91646%;5,51924;5,50207;5,52863;5,48955
39;2024-08-24;Saturday;5,48595;5,48595;5,48595;5,48595;5,48595;5,48595;0,00000%;0,00000%;5,51607;5,49670;5,51653;5,50546
40;2024-08-25;Sunday;5,48595;5,48595;5,48595;5,48595;5,48595;5,48595;0,00000%;0,00000%;5,51320;5,49311;5,50468;5,50673
41;2024-08-26;Monday;5,48490;5,49180;5,49720;5,49720;5,48490;5,49130;0,20507%;0,20486%;5,51167;5,49448;5,49668;5,50943
42;2024-08-27;Tuesday;5,49270;5,50250;5,50940;5,50940;5,49270;5,50153;0,22193%;0,22169%;5,51146;5,49945;5,49028;5,49289
43;2024-08-28;Wednesday;5,53040;5,55498;5,56340;5,56340;5,53040;5,54959;0,98014%;0,97537%;5,51640;5,52077;5,49107;5,50838
44;2024-08-29;Thursday;5,64060;5,62270;5,62890;5,64060;5,62270;5,63073;1,17734%;1,17046%;5,52712;5,55681;5,49708;5,53697
45;2024-08-30;Friday;5,66560;5,63410;5,60638;5,66560;5,60638;5,63536;-0,40008%;-0,40088%;5,53467;5,57333;5,50197;5,56106
46;2024-08-31;Saturday;5,60638;5,60638;5,60638;5,60638;5,60638;5,60638;0,00000%;0,00000%;5,54150;5,58435;5,50759;5,58289
47;2024-09-01;Sunday;5,60638;5,60638;5,61169;5,61169;5,60638;5,60815;0,09471%;0,09467%;5,54818;5,59346;5,51349;5,60335
48;2024-09-02;Monday;5,65045;5,62595;5,61656;5,65045;5,61656;5,63099;0,08678%;0,08675%;5,55469;5,60116;5,52145;5,61398
49;2024-09-03;Tuesday;5,62757;5,64021;5,64921;5,64921;5,62757;5,63900;0,58132%;0,57963%;5,56370;5,61718;5,53038;5,61804
50;2024-09-04;Wednesday;5,63457;5,6393;5,6435;5,64350;5,63457;5,63912;-0,10108%;-0,10113%;5,57130;5,62595;5,53824;5,62547
51;2024-09-05;Thursday;5,60991;5,5725;5,5689;5,60991;5,56890;5,58377;-1,32187%;-1,33069%;5,57107;5,60693;5,54311;5,61797
52;2024-09-06;Friday;5,56156;5,58999;5,59939;5,59939;5,56156;5,58365;0,54750%;0,54601%;5,57377;5,60442;5,54950;5,61551
53;2024-09-07;Saturday;5,59939;5,59939;5,59939;5,59939;5,59939;5,59939;0,00000%;0,00000%;5,57621;5,60274;5,55600;5,61208
54;2024-09-08;Sunday;5,59939;5,59939;5,59867;5,59939;5,59867;5,59915;-0,01286%;-0,01286%;5,57834;5,60139;5,56561;5,60197
55;2024-09-09;Monday;5,61004;5,58581;5,58516;5,61004;5,58516;5,59367;-0,24131%;-0,24160%;5,57899;5,59598;5,57089;5,59030
56;2024-09-10;Tuesday;5,61629;5,65372;5,66431;5,66431;5,61629;5,64477;1,41715%;1,40720%;5,58712;5,61875;5,57992;5,60938
57;2024-09-11;Wednesday;5,64346;5,65899;5,66906;5,66906;5,64346;5,65717;0,08386%;0,08382%;5,59492;5,63552;5,58377;5,62332
58;2024-09-12;Thursday;5,65873;5,61766;5,62712;5,65873;5,61766;5,63450;-0,73981%;-0,74256%;5,59799;5,63272;5,59083;5,62886
59;2024-09-13;Friday;5,57269;5,5674;5,5648;5,57269;5,56480;5,56830;-1,10749%;-1,11367%;5,59483;5,61008;5,59477;5,62209
60;2024-09-14;Saturday;5,5648;5,5648;5,5648;5,56480;5,56480;5,56480;0,00000%;0,00000%;5,59197;5,59499;5,59871;5,61802
61;2024-09-15;Sunday;5,5648;5,5648;5,5648;5,56480;5,56480;5,56480;0,00000%;0,00000%;5,58938;5,58493;5,60209;5,59812
