,dateTime,usd
0,2024-07-17 11:00:00,5.45869
1,2024-07-17 17:00:00,5.48646
2,2024-07-17 23:00:00,5.48989
3,2024-07-18 11:00:00,5.49209
4,2024-07-18 17:00:00,5.58875
5,2024-07-18 23:00:00,5.54471
6,2024-07-19 11:00:00,5.5445
7,2024-07-19 17:00:00,5.57886
8,2024-07-19 23:00:00,5.59816
9,2024-07-20 11:00:00,5.59816
10,2024-07-20 17:00:00,5.59816
11,2024-07-20 23:00:00,5.59816
12,2024-07-21 11:00:00,5.59816
13,2024-07-21 11:00:00,5.59816
14,2024-07-21 17:00:00,5.5453
15,2024-07-22 23:00:00,5.57171
16,2024-07-22 11:00:00,5.56926
17,2024-07-22 17:00:00,5.57209
18,2024-07-23 23:00:00,5.59331
19,2024-07-23 11:00:00,5.58619
20,2024-07-23 17:00:00,5.58656
21,2024-07-24 23:00:00,5.64124
22,2024-07-24 11:00:00,5.65429
23,2024-07-24 17:00:00,5.65505
24,2024-07-25 23:00:00,5.6502
25,2024-07-25 11:00:00,5.64764
26,2024-07-25 11:00:00,5.64525
27,2024-07-26 17:00:00,5.64029
28,2024-07-26 23:00:00,5.65784
29,2024-07-26 11:00:00,5.6563
30,2024-07-27 17:00:00,5.6563
31,2024-07-27 23:00:00,5.6563
32,2024-07-27 11:00:00,5.6563
33,2024-07-28 17:00:00,5.6563
34,2024-07-28 23:00:00,5.65665
35,2024-07-28 11:00:00,5.65681
36,2024-07-29 17:00:00,5.6509
37,2024-07-29 23:00:00,5.6243
38,2024-07-29 11:00:00,5.61608
39,2024-07-30 17:00:00,5.65566
40,2024-07-30 23:00:00,5.6123
41,2024-07-30 11:00:00,5.61255
42,2024-07-31 11:00:00,5.67466
43,2024-07-31 17:00:00,5.64799
44,2024-07-31 23:00:00,5.6579
45,2024-08-01 11:00:00,5.64219
46,2024-08-01 17:00:00,5.73487
47,2024-08-01 23:00:00,5.75242
48,2024-08-02 11:00:00,5.71585
49,2024-08-02 17:00:00,5.70959
50,2024-08-02 23:00:00,5.72807
51,2024-08-03 11:00:00,5.72807
52,2024-08-03 11:00:00,5.72807
53,2024-08-03 17:00:00,5.72807
54,2024-08-04 23:00:00,5.72807
55,2024-08-04 11:00:00,5.72721
56,2024-08-04 17:00:00,5.7281
57,2024-08-05 23:00:00,5.8011
58,2024-08-05 11:00:00,5.74076
59,2024-08-05 17:00:00,5.72298
60,2024-08-06 23:00:00,5.66271
61,2024-08-06 11:00:00,5.65861
62,2024-08-06 17:00:00,5.65716
63,2024-08-07 23:00:00,5.60331
64,2024-08-07 11:00:00,5.62366
65,2024-08-07 11:00:00,5.63739
66,2024-08-08 17:00:00,5.617
67,2024-08-08 23:00:00,5.57426
68,2024-08-08 11:00:00,5.54751
69,2024-08-09 11:00:00,5.51724
70,2024-08-09 17:00:00,5.51466
71,2024-08-09 23:00:00,5.5087
72,2024-08-10 11:00:00,5.5087
73,2024-08-10 17:00:00,5.5087
74,2024-08-10 23:00:00,5.5087
75,2024-08-11 11:00:00,5.4994
76,2024-08-11 17:00:00,5.49774
77,2024-08-11 23:00:00,5.49384
78,2024-08-12 11:00:00,5.4994
79,2024-08-12 17:00:00,5.48774
80,2024-08-12 23:00:00,5.49384
81,2024-08-13 11:00:00,5.48911
82,2024-08-13 11:00:00,5.44879
83,2024-08-13 17:00:00,5.45729
84,2024-08-14 23:00:00,5.44909
85,2024-08-14 11:00:00,5.46896
86,2024-08-14 11:00:00,5.47061
87,2024-08-15 17:00:00,5.45551
88,2024-08-15 23:00:00,5.48369
89,2024-08-15 11:00:00,5.48634
90,2024-08-16 17:00:00,5.45426
91,2024-08-16 23:00:00,5.46624
92,2024-08-16 11:00:00,5.47154
93,2024-08-17 17:00:00,5.47154
94,2024-08-17 23:00:00,5.47154
95,2024-08-17 11:00:00,5.47154
96,2024-08-18 17:00:00,5.47154
97,2024-08-18 23:00:00,5.47154
98,2024-08-18 11:00:00,5.4694
99,2024-08-19 11:00:00,5.4293
100,2024-08-19 17:00:00,5.4125
101,2024-08-19 23:00:00,5.4064
102,2024-08-20 11:00:00,5.4397
103,2024-08-20 17:00:00,5.4853
104,2024-08-20 23:00:00,5.4796
105,2024-08-21 11:00:00,5.47
106,2024-08-21 17:00:00,5.4812
107,2024-08-21 23:00:00,5.4837
108,2024-08-22 11:00:00,5.5452
109,2024-08-22 17:00:00,5.5897
110,2024-08-22 23:00:00,5.5921
111,2024-08-23 11:00:00,5.5518
112,2024-08-23 17:00:00,5.4795
113,2024-08-23 23:00:00,5.48595
114,2024-08-24 11:00:00,5.48595
115,2024-08-24 11:00:00,5.48595
116,2024-08-24 17:00:00,5.48595
117,2024-08-25 23:00:00,5.48595
118,2024-08-25 11:00:00,5.48595
119,2024-08-25 17:00:00,5.48595
120,2024-08-26 11:00:00,5.4849
121,2024-08-26 17:00:00,5.4918
122,2024-08-26 23:00:00,5.4972
123,2024-08-27 11:00:00,5.4927
124,2024-08-27 17:00:00,5.5025
125,2024-08-27 23:00:00,5.5094
126,2024-08-28 11:00:00,5.5304
127,2024-08-28 17:00:00,5.55498
128,2024-08-28 23:00:00,5.5634
129,2024-08-29 11:00:00,5.6406
130,2024-08-29 17:00:00,5.6227
131,2024-08-29 23:00:00,5.6289
132,2024-08-30 11:00:00,5.6656
133,2024-08-30 17:00:00,5.6341
134,2024-08-30 23:00:00,5.60638
135,2024-08-31 11:00:00,5.60638
136,2024-08-31 17:00:00,5.60638
137,2024-08-31 23:00:00,5.60638
138,2024-09-01 11:00:00,5.60638
139,2024-09-01 17:00:00,5.60638
140,2024-09-01 23:00:00,5.61169
141,2024-09-02 11:00:00,5.65045
142,2024-09-02 17:00:00,5.62595
143,2024-09-02 23:00:00,5.61656
144,2024-09-03 11:00:00,5.62757
145,2024-09-03 17:00:00,5.64021
146,2024-09-03 23:00:00,5.64921
147,2024-09-04 11:00:00,5.63457
148,2024-09-04 17:00:00,5.6393
149,2024-09-04 23:00:00,5.6435
150,2024-09-05 11:00:00,5.60991
151,2024-09-05 17:00:00,5.5725
152,2024-09-05 23:00:00,5.5689
153,2024-09-06 11:00:00,5.56156
154,2024-09-06 17:00:00,5.58999
155,2024-09-06 23:00:00,5.59939
156,2024-09-07 11:00:00,5.59939
157,2024-09-07 17:00:00,5.59939
158,2024-09-07 23:00:00,5.59939
159,2024-09-08 11:00:00,5.59939
160,2024-09-08 17:00:00,5.59939
161,2024-09-08 23:00:00,5.59871
162,2024-09-09 11:00:00,5.61004
163,2024-09-09 17:00:00,5.58581
164,2024-09-09 23:00:00,5.58516
165,2024-09-10 11:00:00,5.61629
166,2024-09-10 17:00:00,5.65372
167,2024-09-10 23:00:00,5.66431
168,2024-09-11 11:00:00,5.64346
169,2024-09-11 17:00:00,5.65899
170,2024-09-11 23:00:00,5.66906
171,2024-09-12 11:00:00,5.65873
172,2024-09-12 17:00:00,5.61766
173,2024-09-12 23:00:00,5.62712
174,2024-09-13 11:00:00,5.57269
175,2024-09-13 17:00:00,5.5674
176,2024-09-13 23:00:00,5.5648
177,2024-09-14 11:00:00,5.5648
178,2024-09-14 17:00:00,5.5648
179,2024-09-14 23:00:00,5.5648
180,2024-09-13 11:00:00,5.5648
181,2024-09-13 17:00:00,5.5648
182,2024-09-13 23:00:00,5.5648
